n,nominal,calibrated
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,1.0,0.0
100,0.0,0.0
100,1.0,1.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,1.0,0.0
100,1.0,1.0
100,1.0,0.0
100,1.0,1.0
100,1.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,1.0
100,0.0,0.0
100,1.0,0.0
100,1.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,1.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,1.0,1.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,1.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,1.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,1.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,1.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,1.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,1.0,0.0
100,1.0,0.0
100,1.0,1.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,1.0,0.0
100,1.0,0.0
100,1.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,1.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,1.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,1.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,1.0,1.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,1.0,0.0
100,0.0,0.0
100,1.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,1.0,1.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,1.0,1.0
100,1.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,1.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,1.0,0.0
100,1.0,0.0
100,0.0,0.0
100,1.0,0.0
100,0.0,0.0
100,0.0,0.0
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,1.0,
100,1.0,
100,1.0,
100,1.0,
100,0.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,0.0,
100,1.0,
100,0.0,
100,1.0,
100,1.0,
100,1.0,
100,1.0,
